Common name,Compound name,Database identifier,Deposition number
Paracetamol,N-(4-Hydroxyphenyl)acetamide,HXACAN06,1178863
Aspirin,2-acetoxybenzoic acid,ACSALA02,195133
Ibuprofen,2-(4-Isobutylphenyl)propionic acid,IBPRAC03,735824
Naproxen,(S)-1-phenylethan-1-aminium (S)-2-(6-methoxynaphthalen-2-yl)propanoate,BAQFOS,2100701
Delestrogen,"3-hydroxyestra-1,3,5(10)-trien-17-yl pentanoate",DOVGEC02,1846739
Warfarin stereoisomer,(-)-(S)-Warfarin,WARFAR10,1290275
Melatonin,N-Acetyl-5-methoxy-tryptamine,MELATN01,1210959
Cocaine,l-3-Tropanylbenzoate-2-carboxylic acid methyl ester,COCAIN10,1128132
Vanillin,2-Hydroxy-3-methoxybenzaldehyde oxime,ABULIT,253273
Tolmetin,catena-[tris(μ-aqua)-(μ-[1-methyl-5-(4-methylbenzoyl)-1H-pyrrol-2-yl]acetato)-aqua-([1-methyl-5-(4-methylbenzoyl)-1H-pyrrol-2-yl]acetato)-di-sodium],ALESOC,2055407
Diclofenac,"bis{[2-(2,6-dichloroanilino)phenyl]acetato}-bis[N-(4-methoxyphenyl)-N'-pyridin-3-yl-urea]-copper(ii) ethanol solvate dihydrate",FAFYIZ,2120396
Sulfathiazole,"4-amino-N-(1,3-thiazol-2(3H)-ylidene)benzene-1-sulfonamide N-methylacetamide",GEKKIU,2189394
Salicylic acid,2-acetoxybenzoic acid,ACSALA10,185473
